TraceName,DRAM,Cpus,BlockSize,MSHR,Partitioning,Latency,ROB,Weight,IPC
403,True,4,128,256,basic,30,1600,0.123457,0.054907130378999996
403,True,4,128,256,basic,30,1600,0.123457,0.17198547756000002
403,True,4,2048,256,basic,30,1600,0.123457,0.27037700285
403,True,4,2048,256,basic,30,1600,0.123457,0.17417807388
403,True,4,32,256,basic,30,1600,0.123457,0.019589169104
403,True,4,32,256,basic,30,1600,0.123457,0.091432871485
403,True,4,512,256,basic,30,1600,0.123457,0.10571869823999999
403,True,4,512,256,basic,30,1600,0.123457,0.17542128586999997
403,True,4,8,256,basic,30,1600,0.123457,0.050596011939
403,True,4,128,256,basic,30,1600,0.395062,0.199991446136
403,True,4,2048,256,basic,30,1600,0.395062,0.24453547676
403,True,4,32,256,basic,30,1600,0.395062,0.16552979281400002
403,True,4,512,256,basic,30,1600,0.395062,0.23022475087200003
444,True,4,128,256,basic,30,1600,0.108429,0.24574456989
444,True,4,2048,256,basic,30,1600,0.108429,0.25396782525
444,True,4,32,256,basic,30,1600,0.108429,0.13792819373999998
444,True,4,512,256,basic,30,1600,0.108429,0.25261896849
444,True,4,8,256,basic,30,1600,0.108429,0.029599598994
444,True,4,128,256,basic,30,1600,0.109699,0.21835915047
444,True,4,2048,256,basic,30,1600,0.109699,0.23116650872
444,True,4,32,256,basic,30,1600,0.109699,0.07925379773400001
444,True,4,512,256,basic,30,1600,0.109699,0.22998943845000003
444,True,4,8,256,basic,30,1600,0.109699,0.02313222813
444,True,4,128,256,basic,30,1600,0.113511,0.22638520329
444,True,4,2048,256,basic,30,1600,0.113511,0.23944804917
444,True,4,32,256,basic,30,1600,0.113511,0.059856166476
444,True,4,512,256,basic,30,1600,0.113511,0.23918810898
444,True,4,8,256,basic,30,1600,0.113511,0.022221594426
444,True,4,128,256,basic,30,1600,0.115205,0.27809104539999996
444,True,4,2048,256,basic,30,1600,0.115205,0.2939386452
444,True,4,32,256,basic,30,1600,0.115205,0.11806093195000002
444,True,4,512,256,basic,30,1600,0.115205,0.29204121885
444,True,4,8,256,basic,30,1600,0.115205,0.029129238635
444,True,4,128,256,basic,30,1600,0.116476,0.23843685483999996
444,True,4,2048,256,basic,30,1600,0.116476,0.25233127688
444,True,4,32,256,basic,30,1600,0.116476,0.110432293312
444,True,4,512,256,basic,30,1600,0.116476,0.25087183259999996
444,True,4,8,256,basic,30,1600,0.116476,0.030165886287999998
444,True,4,128,256,basic,30,1600,0.124524,0.25550207892
444,True,4,2048,256,basic,30,1600,0.124524,0.27519056856
444,True,4,32,256,basic,30,1600,0.124524,0.12752004743999998
444,True,4,512,256,basic,30,1600,0.124524,0.27327787992
444,True,4,8,256,basic,30,1600,0.124524,0.031270591403999994
444,True,4,128,256,basic,30,1600,0.13723,0.29877303909999997
444,True,4,2048,256,basic,30,1600,0.13723,0.3186315924
444,True,4,32,256,basic,30,1600,0.13723,0.0938076834
444,True,4,512,256,basic,30,1600,0.13723,0.3162396735
444,True,4,8,256,basic,30,1600,0.13723,0.03086563437
454,True,4,128,256,basic,30,1600,0.132874,0.22220253271999998
454,True,4,2048,256,basic,30,1600,0.132874,0.3936857309
454,True,4,32,256,basic,30,1600,0.132874,0.15146174386
454,True,4,512,256,basic,30,1600,0.132874,0.31780271824
454,True,4,8,256,basic,30,1600,0.132874,0.06891828907599999
605,True,4,128,256,basic,30,1600,0.0116456,0.0013408976752
605,True,4,2048,256,basic,30,1600,0.0116456,0.00055988201752
605,True,4,32,256,basic,30,1600,0.0116456,0.0009139560044800001
605,True,4,512,256,basic,30,1600,0.0116456,0.00116125497872
605,True,4,8,256,basic,30,1600,0.0116456,0.00037373991168
605,True,4,128,256,basic,30,1600,0.0141772,0.0051299914656
605,True,4,2048,256,basic,30,1600,0.0141772,0.00091992448272
605,True,4,32,256,basic,30,1600,0.0141772,0.004749886556399999
605,True,4,512,256,basic,30,1600,0.0141772,0.0029577183499999997
605,True,4,8,256,basic,30,1600,0.0141772,0.0023242526996
605,True,4,128,256,basic,30,1600,0.0313924,0.0122999818136
605,True,4,2048,256,basic,30,1600,0.0313924,0.0195791573484
605,True,4,32,256,basic,30,1600,0.0313924,0.0077417425488000005
605,True,4,512,256,basic,30,1600,0.0313924,0.017529830083999998
605,True,4,8,256,basic,30,1600,0.0313924,0.0054473976024
605,True,4,128,256,basic,30,1600,0.0349367,0.0167583663826
605,True,4,2048,256,basic,30,1600,0.0349367,0.0255043150505
605,True,4,32,256,basic,30,1600,0.0349367,0.012361582687599999
605,True,4,512,256,basic,30,1600,0.0349367,0.0224302697542
605,True,4,8,256,basic,30,1600,0.0349367,0.0079060703999
605,True,4,128,256,basic,30,1600,0.0688608,0.006934007116799999
605,True,4,2048,256,basic,30,1600,0.0688608,0.0035360915990400002
605,True,4,32,256,basic,30,1600,0.0688608,0.006701415992639999
605,True,4,512,256,basic,30,1600,0.0688608,0.00579049778592
605,True,4,8,256,basic,30,1600,0.0688608,0.00539135993088
605,True,4,128,256,basic,30,1600,0.126582,0.0260632338
605,True,4,2048,256,basic,30,1600,0.126582,0.018399579774
605,True,4,32,256,basic,30,1600,0.126582,0.022522861842
605,True,4,512,256,basic,30,1600,0.126582,0.024353364144000002
605,True,4,8,256,basic,30,1600,0.126582,0.016466039724
605,True,4,128,256,basic,30,1600,0.128608,0.019588027264
605,True,4,2048,256,basic,30,1600,0.128608,0.03975852016
605,True,4,32,256,basic,30,1600,0.128608,0.0103907290304
605,True,4,512,256,basic,30,1600,0.128608,0.033851940544
605,True,4,8,256,basic,30,1600,0.128608,0.0087609955936
605,True,4,128,256,basic,30,1600,0.142785,0.05101593822
605,True,4,2048,256,basic,30,1600,0.142785,0.03220915473
605,True,4,32,256,basic,30,1600,0.142785,0.04240400373
605,True,4,512,256,basic,30,1600,0.142785,0.047055510674999995
605,True,4,8,256,basic,30,1600,0.142785,0.030687780555
605,True,4,128,256,basic,30,1600,0.440506,0.109459573916
605,True,4,2048,256,basic,30,1600,0.440506,0.083904499338
605,True,4,32,256,basic,30,1600,0.440506,0.08928175608
605,True,4,512,256,basic,30,1600,0.440506,0.111151116956
605,True,4,8,256,basic,30,1600,0.440506,0.061934703094
648,True,4,128,256,basic,30,1600,0.0194217,0.016476632255399998
648,True,4,2048,256,basic,30,1600,0.0194217,0.0167264730042
648,True,4,32,256,basic,30,1600,0.0194217,0.0160234657293
648,True,4,512,256,basic,30,1600,0.0194217,0.0166545932925
648,True,4,8,256,basic,30,1600,0.0194217,0.0107137671663
648,True,4,128,256,basic,30,1600,0.0429435,0.043978008915
648,True,4,2048,256,basic,30,1600,0.0429435,0.04451780871
648,True,4,32,256,basic,30,1600,0.0429435,0.043200731565
648,True,4,512,256,basic,30,1600,0.0429435,0.044425480185000005
648,True,4,8,256,basic,30,1600,0.0429435,0.0181436716935
648,True,4,128,256,basic,30,1600,0.0520069,0.059660235404
648,True,4,2048,256,basic,30,1600,0.0520069,0.06029159917
648,True,4,32,256,basic,30,1600,0.0520069,0.05841415008
648,True,4,512,256,basic,30,1600,0.0520069,0.060011281979
648,True,4,8,256,basic,30,1600,0.0520069,0.0166423640207
648,True,4,128,256,basic,30,1600,0.0714286,0.08126788965
648,True,4,2048,256,basic,30,1600,0.0714286,0.082369318662
648,True,4,32,256,basic,30,1600,0.0714286,0.080411460736
648,True,4,512,256,basic,30,1600,0.0714286,0.082060032824
648,True,4,8,256,basic,30,1600,0.0714286,0.0236927237628
648,True,4,128,256,basic,30,1600,0.079413,0.09800834807999999
648,True,4,2048,256,basic,30,1600,0.079413,0.09900339297
648,True,4,32,256,basic,30,1600,0.079413,0.09634226334
648,True,4,512,256,basic,30,1600,0.079413,0.09854279757000001
648,True,4,8,256,basic,30,1600,0.079413,0.039850396356000004
648,True,4,128,256,basic,30,1600,0.0807078,0.099672518844
648,True,4,2048,256,basic,30,1600,0.0807078,0.10026329994
648,True,4,32,256,basic,30,1600,0.0807078,0.097747637814
648,True,4,512,256,basic,30,1600,0.0807078,0.09998405095199998
648,True,4,8,256,basic,30,1600,0.0807078,0.042450607936199994
648,True,4,128,256,basic,30,1600,0.147389,0.18001502904
648,True,4,2048,256,basic,30,1600,0.147389,0.18218459512
