TraceName,DRAM,Cpus,BlockSize,MSHR,Partitioning,Latency,ROB,Weight,IPC
403,True,4,2048,256,basic,30,100,0.123457,0.24933746090999998
403,True,4,2048,256,basic,30,100,0.123457,0.16064348297
403,True,4,2048,256,basic,30,1600,0.123457,0.25316709705
403,True,4,2048,256,basic,30,1600,0.123457,0.17417807388
403,True,4,2048,256,basic,30,200,0.123457,0.25181524289999996
403,True,4,2048,256,basic,30,200,0.123457,0.18157808645999998
403,True,4,2048,256,basic,30,400,0.123457,0.25305104747
403,True,4,2048,256,basic,30,400,0.123457,0.17415338247999998
403,True,4,2048,256,basic,30,800,0.123457,0.25316709705
403,True,4,2048,256,basic,30,800,0.123457,0.17417807388
403,True,4,2048,256,basic,30,100,0.395062,0.242377253054
403,True,4,2048,256,basic,30,1600,0.395062,0.24453547676
403,True,4,2048,256,basic,30,200,0.395062,0.244088661638
403,True,4,2048,256,basic,30,400,0.395062,0.24450347673800002
403,True,4,2048,256,basic,30,800,0.395062,0.24453547676
444,True,4,2048,256,basic,30,100,0.108429,0.20994456696
444,True,4,2048,256,basic,30,1600,0.108429,0.23772407675999999
444,True,4,2048,256,basic,30,200,0.108429,0.2288610903
444,True,4,2048,256,basic,30,400,0.108429,0.23829766616999998
444,True,4,2048,256,basic,30,800,0.108429,0.23776311120000002
444,True,4,2048,256,basic,30,100,0.109699,0.1879253569
444,True,4,2048,256,basic,30,1600,0.109699,0.20839080234
444,True,4,2048,256,basic,30,200,0.109699,0.21248476902
444,True,4,2048,256,basic,30,400,0.109699,0.20821089598
444,True,4,2048,256,basic,30,800,0.109699,0.20841603311
444,True,4,2048,256,basic,30,100,0.113511,0.19903472784
444,True,4,2048,256,basic,30,1600,0.113511,0.23608471824
444,True,4,2048,256,basic,30,200,0.113511,0.22539084693
444,True,4,2048,256,basic,30,400,0.113511,0.23589061442999998
444,True,4,2048,256,basic,30,800,0.113511,0.23608244801999997
444,True,4,2048,256,basic,30,100,0.115205,0.23182586945000003
444,True,4,2048,256,basic,30,1600,0.115205,0.28985578
444,True,4,2048,256,basic,30,200,0.115205,0.28107831105000003
444,True,4,2048,256,basic,30,400,0.115205,0.2896207618
444,True,4,2048,256,basic,30,800,0.115205,0.28982697875
444,True,4,2048,256,basic,30,100,0.116476,0.21705069648
444,True,4,2048,256,basic,30,1600,0.116476,0.23670369196
444,True,4,2048,256,basic,30,200,0.116476,0.23402241443999997
444,True,4,2048,256,basic,30,400,0.116476,0.23679803752
444,True,4,2048,256,basic,30,800,0.116476,0.23675261188000002
444,True,4,2048,256,basic,30,100,0.124524,0.23921433972
444,True,4,2048,256,basic,30,1600,0.124524,0.27012119652
444,True,4,2048,256,basic,30,200,0.124524,0.263897487
444,True,4,2048,256,basic,30,400,0.124524,0.26908017588
444,True,4,2048,256,basic,30,800,0.124524,0.26926073568
444,True,4,2048,256,basic,30,100,0.13723,0.2604296048
444,True,4,2048,256,basic,30,1600,0.13723,0.30764770319999996
444,True,4,2048,256,basic,30,200,0.13723,0.3028268133
444,True,4,2048,256,basic,30,400,0.13723,0.3066184782
444,True,4,2048,256,basic,30,800,0.13723,0.30696978699999994
454,True,4,2048,256,basic,30,100,0.132874,0.37490664848
454,True,4,2048,256,basic,30,1600,0.132874,0.3557502039
454,True,4,2048,256,basic,30,200,0.132874,0.3529399188
454,True,4,2048,256,basic,30,400,0.132874,0.35461413119999996
454,True,4,2048,256,basic,30,800,0.132874,0.35573425902
605,True,4,2048,256,basic,30,100,0.0116456,0.00055687978184
605,True,4,2048,256,basic,30,1600,0.0116456,0.00055988201752
605,True,4,2048,256,basic,30,200,0.0116456,0.00055900976208
605,True,4,2048,256,basic,30,400,0.0116456,0.00055988201752
605,True,4,2048,256,basic,30,800,0.0116456,0.00055988201752
605,True,4,2048,256,basic,30,100,0.0141772,0.0009254011350799999
605,True,4,2048,256,basic,30,1600,0.0141772,0.00091992448272
605,True,4,2048,256,basic,30,200,0.0141772,0.0008243205345199999
605,True,4,2048,256,basic,30,400,0.0141772,0.0009219461514399998
605,True,4,2048,256,basic,30,800,0.0141772,0.00091992448272
605,True,4,2048,256,basic,30,100,0.0313924,0.0177647708056
605,True,4,2048,256,basic,30,1600,0.0313924,0.0195791573484
605,True,4,2048,256,basic,30,200,0.0313924,0.0189399452996
605,True,4,2048,256,basic,30,400,0.0313924,0.019579000386399998
605,True,4,2048,256,basic,30,800,0.0313924,0.0195791573484
605,True,4,2048,256,basic,30,100,0.0349367,0.0254888380924
605,True,4,2048,256,basic,30,1600,0.0349367,0.0255043150505
605,True,4,2048,256,basic,30,200,0.0349367,0.0255043150505
605,True,4,2048,256,basic,30,400,0.0349367,0.0255043150505
605,True,4,2048,256,basic,30,800,0.0349367,0.0255043150505
605,True,4,2048,256,basic,30,100,0.0688608,0.00350038727424
605,True,4,2048,256,basic,30,1600,0.0688608,0.0035360915990400002
