TraceName,DRAM,Cpus,BlockSize,MSHR,Partitioning,Latency,ROB,IPC,Weight,final IPC
403,True,4,2048,256,basic,120,1600,0.606548628522,0.641976,0.9448151153968373
444,True,4,2048,256,basic,120,1600,1.7012454048899999,0.8250739999999999,2.06193069335599
454,True,4,2048,256,basic,120,1600,0.35569306807999995,0.132874,2.67692
605,True,4,2048,256,basic,120,1600,0.22229633610778,0.9994937,0.22240894175499054
648,True,4,2048,256,basic,120,1600,1.1844063198995,1.0000004999999998,1.1844057276966364
649,True,4,2048,256,basic,120,1600,1.84776770545,0.9104327000000001,2.029548922671604
