TraceName,DRAM,Cpus,BlockSize,MSHR,Partitioning,Latency,ROB,Weight,IPC
403,True,4,2048,256,basic,120,1600,0.123457,0.23132878832
403,True,4,2048,256,basic,120,1600,0.123457,0.17267313304999998
403,True,4,2048,256,basic,120,1600,0.395062,0.20254670715200002
444,True,4,2048,256,basic,120,1600,0.108429,0.22025833343999998
444,True,4,2048,256,basic,120,1600,0.109699,0.20436704302000003
444,True,4,2048,256,basic,120,1600,0.113511,0.23221966869000002
444,True,4,2048,256,basic,120,1600,0.115205,0.27595975289999997
444,True,4,2048,256,basic,120,1600,0.116476,0.22192987611999998
444,True,4,2048,256,basic,120,1600,0.124524,0.25147995372
444,True,4,2048,256,basic,120,1600,0.13723,0.295030777
454,True,4,2048,256,basic,120,1600,0.132874,0.35569306807999995
605,True,4,2048,256,basic,120,1600,0.0116456,0.0005597282956000001
605,True,4,2048,256,basic,120,1600,0.0141772,0.0009201952672399999
605,True,4,2048,256,basic,120,1600,0.0313924,0.0195809781076
605,True,4,2048,256,basic,120,1600,0.0349367,0.0255057823919
605,True,4,2048,256,basic,120,1600,0.0688608,0.00353182222944
605,True,4,2048,256,basic,120,1600,0.126582,0.018177428364
605,True,4,2048,256,basic,120,1600,0.128608,0.039758134336
605,True,4,2048,256,basic,120,1600,0.142785,0.03173082498
605,True,4,2048,256,basic,120,1600,0.440506,0.082531442136
648,True,4,2048,256,basic,120,1600,0.0194217,0.022513246206000002
648,True,4,2048,256,basic,120,1600,0.0429435,0.0225732937185
648,True,4,2048,256,basic,120,1600,0.0520069,0.060290038963
648,True,4,2048,256,basic,120,1600,0.0714286,0.082369318662
648,True,4,2048,256,basic,120,1600,0.079413,0.09900339297
648,True,4,2048,256,basic,120,1600,0.0807078,0.10026329994
648,True,4,2048,256,basic,120,1600,0.147389,0.18218459512
648,True,4,2048,256,basic,120,1600,0.161847,0.19636249122
648,True,4,2048,256,basic,120,1600,0.162495,0.1901548989
648,True,4,2048,256,basic,120,1600,0.182348,0.22869174420000002
649,True,4,2048,256,basic,120,1600,0.0486947,0.12154051035899999
649,True,4,2048,256,basic,120,1600,0.157247,0.109565463931
649,True,4,2048,256,basic,120,1600,0.20726,0.3771841836
649,True,4,2048,256,basic,120,1600,0.497231,1.23947754756
