TraceName,DRAM,Cpus,BlockSize,MSHR,Partitioning,Latency,ROB,IPC
403,True,4,128,256,basic,0,1600,0.054899352588
403,True,4,128,256,basic,0,1600,0.17245091045
403,True,4,2048,256,basic,0,1600,0.27578318488
403,True,4,2048,256,basic,0,1600,0.17460276596
403,True,4,32,256,basic,0,1600,0.019587193792
403,True,4,32,256,basic,0,1600,0.09142620480699999
403,True,4,512,256,basic,0,1600,0.10618660027
403,True,4,512,256,basic,0,1600,0.17581140999
403,True,4,8,256,basic,0,1600,0.0056977751183
403,True,4,8,256,basic,0,1600,0.050640333002
403,True,4,128,256,basic,0,1600,0.20456744928200002
403,True,4,2048,256,basic,0,1600,0.25619691687600005
403,True,4,32,256,basic,0,1600,0.16864288137400002
403,True,4,512,256,basic,0,1600,0.23862890479800003
444,True,4,128,256,basic,0,1600,0.2500589598
444,True,4,2048,256,basic,0,1600,0.25997370756
444,True,4,32,256,basic,0,1600,0.12018161931
444,True,4,512,256,basic,0,1600,0.25843293147
444,True,4,8,256,basic,0,1600,0.029576069900999997
444,True,4,128,256,basic,0,1600,0.22095572580000003
444,True,4,2048,256,basic,0,1600,0.23498403392
444,True,4,32,256,basic,0,1600,0.11322691984
444,True,4,512,256,basic,0,1600,0.23364022117000002
444,True,4,8,256,basic,0,1600,0.023108971942
444,True,4,128,256,basic,0,1600,0.22695729873
444,True,4,2048,256,basic,0,1600,0.24015976314
444,True,4,32,256,basic,0,1600,0.059883636138
444,True,4,512,256,basic,0,1600,0.23988052608000002
444,True,4,8,256,basic,0,1600,0.022218075585
444,True,4,128,256,basic,0,1600,0.28236399884999996
444,True,4,2048,256,basic,0,1600,0.3001481947
444,True,4,32,256,basic,0,1600,0.1382022221
444,True,4,512,256,basic,0,1600,0.29802266245
444,True,4,8,256,basic,0,1600,0.029168869155
444,True,4,128,256,basic,0,1600,0.24191599296000002
444,True,4,2048,256,basic,0,1600,0.25716852516
444,True,4,32,256,basic,0,1600,0.12949102824
444,True,4,512,256,basic,0,1600,0.25551223644
444,True,4,8,256,basic,0,1600,0.030137466143999998
444,True,4,128,256,basic,0,1600,0.26067356064
444,True,4,2048,256,basic,0,1600,0.27975561839999996
444,True,4,32,256,basic,0,1600,0.12821364612
444,True,4,512,256,basic,0,1600,0.27774829151999997
444,True,4,8,256,basic,0,1600,0.031237841592000003
444,True,4,128,256,basic,0,1600,0.30240414489999995
444,True,4,2048,256,basic,0,1600,0.3235348203
444,True,4,32,256,basic,0,1600,0.09374469482999999
444,True,4,512,256,basic,0,1600,0.3210029268
444,True,4,8,256,basic,0,1600,0.03084230527
454,True,4,128,256,basic,0,1600,0.22219588902
454,True,4,2048,256,basic,0,1600,0.3937255931
454,True,4,32,256,basic,0,1600,0.15146174386
454,True,4,512,256,basic,0,1600,0.3178213206
454,True,4,8,256,basic,0,1600,0.06891828907599999
454,True,4,32,256,basic,0,1600,0.9087942121499999
454,True,4,8,256,basic,0,1600,0.9157742748
605,True,4,128,256,basic,0,1600,0.0013398961536
605,True,4,2048,256,basic,0,1600,0.0005596304725600001
605,True,4,32,256,basic,0,1600,0.0009136578771200001
605,True,4,512,256,basic,0,1600,0.0011609929527200001
605,True,4,8,256,basic,0,1600,0.0003736071518400001
605,True,4,128,256,basic,0,1600,0.0051338051324
605,True,4,2048,256,basic,0,1600,0.0009194708123199999
605,True,4,32,256,basic,0,1600,0.0047477883307999996
605,True,4,512,256,basic,0,1600,0.0029651755571999997
605,True,4,8,256,basic,0,1600,0.0023240542187999997
605,True,4,128,256,basic,0,1600,0.0123004213072
605,True,4,2048,256,basic,0,1600,0.0195789062092
605,True,4,32,256,basic,0,1600,0.007743971409200001
605,True,4,512,256,basic,0,1600,0.017529892868800002
605,True,4,8,256,basic,0,1600,0.0054505368424
605,True,4,128,256,basic,0,1600,0.0167582965092
605,True,4,2048,256,basic,0,1600,0.0255043150505
605,True,4,32,256,basic,0,1600,0.0123508571207
605,True,4,512,256,basic,0,1600,0.0224301300074
605,True,4,8,256,basic,0,1600,0.0079066293871
605,True,4,128,256,basic,0,1600,0.0069372435744
605,True,4,2048,256,basic,0,1600,0.00353671134624
605,True,4,32,256,basic,0,1600,0.00670343361408
605,True,4,512,256,basic,0,1600,0.00579357586368
605,True,4,8,256,basic,0,1600,0.00539540205984
605,True,4,128,256,basic,0,1600,0.026175765198
605,True,4,2048,256,basic,0,1600,0.018456668255999998
605,True,4,32,256,basic,0,1600,0.022601975591999997
605,True,4,512,256,basic,0,1600,0.02445121203
605,True,4,8,256,basic,0,1600,0.016500090281999998
605,True,4,128,256,basic,0,1600,0.019588027264
605,True,4,2048,256,basic,0,1600,0.039759034592
605,True,4,32,256,basic,0,1600,0.0103907418912
605,True,4,512,256,basic,0,1600,0.033852069151999994
605,True,4,8,256,basic,0,1600,0.0087584877376
605,True,4,128,256,basic,0,1600,0.05132378268
605,True,4,2048,256,basic,0,1600,0.03233651895
605,True,4,32,256,basic,0,1600,0.04260304602
605,True,4,512,256,basic,0,1600,0.047326659390000005
605,True,4,8,256,basic,0,1600,0.030783732075
605,True,4,128,256,basic,0,1600,0.110041922848
605,True,4,2048,256,basic,0,1600,0.084251618066
605,True,4,32,256,basic,0,1600,0.089619624182
605,True,4,512,256,basic,0,1600,0.111821126582
605,True,4,8,256,basic,0,1600,0.06210782195200001
648,True,4,128,256,basic,0,1600,0.022944990597
648,True,4,2048,256,basic,0,1600,0.023483554338000003
648,True,4,32,256,basic,0,1600,0.022122481601999998
648,True,4,512,256,basic,0,1600,0.023318275671
648,True,4,8,256,basic,0,1600,0.0131905777239
648,True,4,128,256,basic,0,1600,0.05194703421
648,True,4,2048,256,basic,0,1600,0.05320785537
648,True,4,32,256,basic,0,1600,0.04731214225500001
648,True,4,512,256,basic,0,1600,0.052968660075
648,True,4,8,256,basic,0,1600,0.020508269634
648,True,4,128,256,basic,0,1600,0.059653994576000006
648,True,4,2048,256,basic,0,1600,0.06028327806600001
648,True,4,32,256,basic,0,1600,0.058404268769000005
648,True,4,512,256,basic,0,1600,0.060005041151000006
648,True,4,8,256,basic,0,1600,0.0166417919448
648,True,4,128,256,basic,0,1600,0.08151431831999999
648,True,4,2048,256,basic,0,1600,0.082365032946
648,True,4,32,256,basic,0,1600,0.080294317832
648,True,4,512,256,basic,0,1600,0.08205003282
648,True,4,8,256,basic,0,1600,0.023691795191
648,True,4,128,256,basic,0,1600,0.09800834807999999
648,True,4,2048,256,basic,0,1600,0.09900339297
648,True,4,32,256,basic,0,1600,0.09634226334
648,True,4,512,256,basic,0,1600,0.09854279757000001
648,True,4,8,256,basic,0,1600,0.039970389398999995
648,True,4,128,256,basic,0,1600,0.099673325922
648,True,4,2048,256,basic,0,1600,0.10026329994
648,True,4,32,256,basic,0,1600,0.097682264496
