TraceName,DRAM,Cpus,BlockSize,MSHR,Partitioning,Latency,ROB,IPC,Weight,final IPC,min IPC,normalized IPC
403,True,4,2048,1,basic,0,1600,0.6833419890979999,0.641976,1.0644354136260545,1.0644354136260545,1.0
403,True,4,2048,4,basic,0,1600,0.6895877770459999,0.641976,1.074164418990741,1.0644354136260545,1.0091400617079662
403,True,4,2048,16,basic,0,1600,0.6895383942960001,0.641976,1.0740874959437736,1.0644354136260545,1.0090677951843399
403,True,4,2048,64,basic,0,1600,0.6895383942960001,0.641976,1.0740874959437736,1.0644354136260545,1.0090677951843399
403,True,4,2048,256,basic,0,1600,0.6895383942960001,0.641976,1.0740874959437736,1.0644354136260545,1.0090677951843399
444,True,4,2048,1,basic,0,1600,1.80556117236,0.8250739999999999,2.188362707296558,2.188362707296558,1.0
444,True,4,2048,4,basic,0,1600,1.81003863231,0.8250739999999999,2.193789444716474,2.188362707296558,1.0024798162579822
444,True,4,2048,16,basic,0,1600,1.8100361418300002,0.8250739999999999,2.1937864262235878,2.188362707296558,1.0024784369195041
444,True,4,2048,64,basic,0,1600,1.8100361418300002,0.8250739999999999,2.1937864262235878,2.188362707296558,1.0024784369195041
444,True,4,2048,256,basic,0,1600,1.8100361418300002,0.8250739999999999,2.1937864262235878,2.188362707296558,1.0024784369195041
454,True,4,2048,1,basic,0,1600,0.35495163115999995,0.132874,2.67134,2.67134,1.0
454,True,4,2048,4,basic,0,1600,0.35576083382,0.132874,2.67743,2.67134,1.002279754729836
454,True,4,2048,16,basic,0,1600,0.35576083382,0.132874,2.67743,2.67134,1.002279754729836
454,True,4,2048,64,basic,0,1600,0.35576083382,0.132874,2.67743,2.67134,1.002279754729836
454,True,4,2048,256,basic,0,1600,0.35576083382,0.132874,2.67743,2.67134,1.002279754729836
605,True,4,2048,1,basic,0,1600,0.19619784313136002,0.9994937,0.1962972284181081,0.1962972284181081,1.0
605,True,4,2048,4,basic,0,1600,0.22494279070166,0.9994937,0.22505673692756642,0.1962972284181081,1.1465100080180517
605,True,4,2048,16,basic,0,1600,0.22490260540146,0.9994937,0.22501653127124263,0.1962972284181081,1.1463051877225854
605,True,4,2048,64,basic,0,1600,0.22490287375482002,0.9994937,0.22501679976053876,0.1962972284181081,1.14630655549175
605,True,4,2048,256,basic,0,1600,0.22490287375482002,0.9994937,0.22501679976053876,0.1962972284181081,1.14630655549175
648,True,4,2048,1,basic,0,1600,1.2149611426340001,1.0000004999999998,1.2149605351537327,1.2149605351537327,1.0
648,True,4,2048,4,basic,0,1600,1.2150298349380002,1.0000004999999998,1.2150292274233867,1.2149605351537327,1.0000565386839049
648,True,4,2048,16,basic,0,1600,1.2150298349380002,1.0000004999999998,1.2150292274233867,1.2149605351537327,1.0000565386839049
648,True,4,2048,64,basic,0,1600,1.2150298349380002,1.0000004999999998,1.2150292274233867,1.2149605351537327,1.0000565386839049
648,True,4,2048,256,basic,0,1600,1.2150298349380002,1.0000004999999998,1.2150292274233867,1.2149605351537327,1.0000565386839049
649,True,4,2048,1,basic,0,1600,1.9816395060779999,0.9104327000000001,2.176590873853718,2.176590873853718,1.0
649,True,4,2048,4,basic,0,1600,2.0012006186580003,0.9104327000000001,2.1980763857207677,2.176590873853718,1.0098711761246197
649,True,4,2048,16,basic,0,1600,2.001208909058,0.9104327000000001,2.198085491720585,2.176590873853718,1.0098753597311607
649,True,4,2048,64,basic,0,1600,2.001208909058,0.9104327000000001,2.198085491720585,2.176590873853718,1.0098753597311607
649,True,4,2048,256,basic,0,1600,2.001208909058,0.9104327000000001,2.198085491720585,2.176590873853718,1.0098753597311607
