,TraceName,MSHR,final IPC,toN IPC,normalized IPC
0,calculix,1,2.671250000000001,2.671250000000001,1.0
1,calculix,4,2.67735,2.671250000000001,1.0022835751052874
2,calculix,16,2.67735,2.671250000000001,1.0022835751052874
3,calculix,64,2.67735,2.671250000000001,1.0022835751052874
4,calculix,256,2.67735,2.671250000000001,1.0022835751052874
5,exchange2_s,1,1.2015134522967743,1.2015134522967743,1.0
6,exchange2_s,4,1.2015722257053876,1.2015134522967743,1.0000489161469652
7,exchange2_s,16,1.2015722257053876,1.2015134522967743,1.0000489161469652
8,exchange2_s,64,1.2015722257053876,1.2015134522967743,1.0000489161469652
9,exchange2_s,256,1.2015722257053876,1.2015134522967743,1.0000489161469652
10,fotonik3d_s,1,2.1145611771314887,2.1145611771314887,1.0
11,fotonik3d_s,4,2.1358370732048613,2.1145611771314887,1.0100616129263447
12,fotonik3d_s,16,2.135846179204679,2.1145611771314887,1.0100659192570935
13,fotonik3d_s,64,2.135846179204679,2.1145611771314887,1.0100659192570935
14,fotonik3d_s,256,2.135846179204679,2.1145611771314887,1.0100659192570935
15,gcc,1,1.0374747997993694,1.0374747997993694,1.0
16,gcc,4,1.0465895741180355,1.0374747997993694,1.0087855380395059
17,gcc,16,1.0465821895055265,1.0374747997993694,1.0087784201678136
18,gcc,64,1.0465821895055265,1.0374747997993694,1.0087784201678136
19,gcc,256,1.0465821895055265,1.0374747997993694,1.0087784201678136
20,mcf_s,1,0.19585462826264932,0.19585462826264932,1.0
21,mcf_s,4,0.2245354548899908,0.19585462826264932,1.1464393610799908
22,mcf_s,16,0.22449064598288115,0.19585462826264932,1.1462105745176965
23,mcf_s,64,0.22448478114487366,0.19585462826264932,1.1461806296649273
24,mcf_s,256,0.22448478114487366,0.19585462826264932,1.1461806296649273
25,namd,1,2.160294251436841,2.160294251436841,1.0
26,namd,4,2.1652942269663087,2.160294251436841,1.0023144881888855
27,namd,16,2.1652942269663087,2.160294251436841,1.0023144881888855
28,namd,64,2.1652942269663087,2.160294251436841,1.0023144881888855
29,namd,256,2.1652942269663087,2.160294251436841,1.0023144881888855
