,TraceName,DRAM,final IPC,toN IPC,normalized IPC
0,calculix,Individual DRAMS,2.6774299999999998,2.6774299999999998,1.0
1,calculix,Shared DRAMS,2.6906100000000004,2.6774299999999998,1.0049226310305033
2,exchange2_s,Individual DRAMS,1.2150292274233867,1.2150292274233867,1.0
3,exchange2_s,Shared DRAMS,1.2107257157571425,1.2150292274233867,0.9964581002916528
4,fotonik3d_s,Individual DRAMS,2.198085491720585,2.198085491720585,1.0
5,fotonik3d_s,Shared DRAMS,2.179648287663657,2.198085491720585,0.9916121533369042
6,gcc,Individual DRAMS,1.0740874959437736,1.0740874959437736,1.0
7,gcc,Shared DRAMS,1.0877314246794272,1.0740874959437736,1.0127028093960493
8,mcf_s,Individual DRAMS,0.2250167997605388,0.2250167997605388,1.0
9,mcf_s,Shared DRAMS,0.22375189177140387,0.2250167997605388,0.9943786064396923
10,namd,Individual DRAMS,2.193786426223588,2.193786426223588,1.0
11,namd,Shared DRAMS,2.227466253754209,2.193786426223588,1.0153523730149965
