,TraceName,MSHR,final IPC,toN IPC,normalized IPC
0,calculix,1,2.6713400000000003,2.6713400000000003,1.0
1,calculix,4,2.6774299999999998,2.6713400000000003,1.0022797547298357
2,calculix,16,2.6774299999999998,2.6713400000000003,1.0022797547298357
3,calculix,64,2.6774299999999998,2.6713400000000003,1.0022797547298357
4,calculix,256,2.6774299999999998,2.6713400000000003,1.0022797547298357
5,exchange2_s,1,1.2149605351537327,1.2149605351537327,1.0
6,exchange2_s,4,1.2150292274233867,1.2149605351537327,1.0000565386839049
7,exchange2_s,16,1.2150292274233867,1.2149605351537327,1.0000565386839049
8,exchange2_s,64,1.2150292274233867,1.2149605351537327,1.0000565386839049
9,exchange2_s,256,1.2150292274233867,1.2149605351537327,1.0000565386839049
10,fotonik3d_s,1,2.176590873853718,2.176590873853718,1.0
11,fotonik3d_s,4,2.198076385720768,2.176590873853718,1.0098711761246197
12,fotonik3d_s,16,2.198085491720585,2.176590873853718,1.0098753597311607
13,fotonik3d_s,64,2.198085491720585,2.176590873853718,1.0098753597311607
14,fotonik3d_s,256,2.198085491720585,2.176590873853718,1.0098753597311607
15,gcc,1,1.0644354136260543,1.0644354136260543,1.0
16,gcc,4,1.0741644189907409,1.0644354136260543,1.0091400617079662
17,gcc,16,1.0740874959437736,1.0644354136260543,1.00906779518434
18,gcc,64,1.0740874959437736,1.0644354136260543,1.00906779518434
19,gcc,256,1.0740874959437736,1.0644354136260543,1.00906779518434
20,mcf_s,1,0.1962972284181081,0.1962972284181081,1.0
21,mcf_s,4,0.2250567369275664,0.1962972284181081,1.1465100080180515
22,mcf_s,16,0.22501653127124266,0.1962972284181081,1.1463051877225856
23,mcf_s,64,0.2250167997605388,0.1962972284181081,1.1463065554917502
24,mcf_s,256,0.2250167997605388,0.1962972284181081,1.1463065554917502
25,namd,1,2.188362707296558,2.188362707296558,1.0
26,namd,4,2.193789444716474,2.188362707296558,1.0024798162579822
27,namd,16,2.193786426223588,2.188362707296558,1.0024784369195043
28,namd,64,2.193786426223588,2.188362707296558,1.0024784369195043
29,namd,256,2.193786426223588,2.188362707296558,1.0024784369195043
