,TraceName,Cpus,final IPC,toN IPC,normalized IPC
0,calculix,1,1.7077647681226464,1.7077647681226464,1.0
1,calculix,4,2.67735,1.7077647681226464,1.5677510450945906
2,calculix,16,2.1239700000000004,1.7077647681226464,1.2437134432366175
3,calculix,64,1.85718,1.7077647681226464,1.0874916936257015
4,exchange2_s,1,1.2401802728228641,1.2401802728228641,1.0
5,exchange2_s,4,1.2015722257053876,1.2401802728228641,0.9688690039960094
6,exchange2_s,16,0.6950332067079967,1.2401802728228641,0.5604291746440873
7,exchange2_s,64,0.6578390950455526,1.2401802728228641,0.5304382834184238
8,fotonik3d_s,1,2.213230759899111,2.213230759899111,1.0
9,fotonik3d_s,4,2.135846179204679,2.213230759899111,0.9650354666596268
10,fotonik3d_s,16,1.96757521313043,2.213230759899111,0.8890059043007883
11,fotonik3d_s,64,1.6336198888967848,2.213230759899111,0.7381154818990734
12,gcc,1,1.1230324212151233,1.1230324212151233,1.0
13,gcc,4,1.0465821895055265,1.1230324212151233,0.9319251784139255
14,gcc,16,0.7326790804453749,1.1230324212151233,0.6524113343518745
15,gcc,64,0.5755613564681547,1.1230324212151233,0.5125064473609731
16,mcf_s,1,0.2272445024660385,0.2272445024660385,1.0
17,mcf_s,4,0.22448478114487366,0.2272445024660385,0.9878557179988225
18,mcf_s,16,0.1732338503747928,0.2272445024660385,0.7623236139702981
19,mcf_s,64,0.15698332742315704,0.2272445024660385,0.6908124320702459
20,namd,1,2.233483628256375,2.233483628256375,1.0
21,namd,4,2.1652942269663087,2.233483628256375,0.9694694868467426
22,namd,16,1.0716861622500191,2.233483628256375,0.47982718507171584
23,namd,64,0.9758683536553572,2.233483628256375,0.4369265757354995
