,TraceName,ROB,final IPC,toN IPC,normalized IPC
0,calculix,100,2.8215200000000005,2.8215200000000005,1.0
1,calculix,200,2.656200000000001,2.8215200000000005,0.941407468314951
2,calculix,400,2.6688,2.8215200000000005,0.9458731463891802
3,calculix,800,2.67723,2.8215200000000005,0.9488608976721766
4,calculix,1600,2.67735,2.8215200000000005,0.9489034279395502
5,exchange2_s,100,1.2014268571320716,1.2014268571320716,1.0
6,exchange2_s,200,1.2014824082482962,1.2014268571320716,1.0000462376181245
7,exchange2_s,400,1.201547232179884,1.2014268571320716,1.0001001934051146
8,exchange2_s,800,1.2015722257053876,1.2014268571320716,1.0001209966070368
9,exchange2_s,1600,1.2015722257053876,1.2014268571320716,1.0001209966070368
10,fotonik3d_s,100,1.609325312964923,1.609325312964923,1.0
11,fotonik3d_s,200,1.7180129068463816,1.609325312964923,1.0675361239929912
12,fotonik3d_s,400,1.8191813311944969,1.609325312964923,1.1303999983961899
13,fotonik3d_s,800,1.9276291283111862,1.609325312964923,1.1977871178573831
14,fotonik3d_s,1600,2.135846179204679,1.609325312964923,1.3271686973404564
15,gcc,100,1.0161722508847684,1.0161722508847684,1.0
16,gcc,200,1.0553073494928158,1.0161722508847684,1.0385122685390917
17,gcc,400,1.0463131124652634,1.0161722508847684,1.0296611736388706
18,gcc,800,1.0465821895055265,1.0161722508847684,1.0299259683525903
19,gcc,1600,1.0465821895055265,1.0161722508847684,1.0299259683525903
20,mcf_s,100,0.21398557061756368,0.21398557061756368,1.0
21,mcf_s,200,0.2209285814797832,0.21398557061756368,1.032446163739835
22,mcf_s,400,0.2244907592365014,0.21398557061756368,1.0490929766367876
23,mcf_s,800,0.22448452785263184,0.21398557061756368,1.0490638560570609
24,mcf_s,1600,0.22448478114487366,0.21398557061756368,1.04906503974548
25,namd,100,1.873074611671196,1.873074611671196,1.0
26,namd,200,2.119278673234158,1.873074611671196,1.1314438090340107
27,namd,400,2.162856458911565,1.873074611671196,1.1547091853334233
28,namd,800,2.163529217548972,1.873074611671196,1.155068358765819
29,namd,1600,2.1652942269663087,1.873074611671196,1.1560106647510364
