,TraceName,DRAM,final IPC,toN IPC,normalized IPC
0,calculix,Individual DRAMS,2.67735,2.67735,1.0
1,calculix,Shared DRAMS,2.69397,2.67735,1.00620763067959
2,exchange2_s,Individual DRAMS,1.2015722257053876,1.2015722257053876,1.0
3,exchange2_s,Shared DRAMS,1.1981094403382802,1.2015722257053876,0.9971181213305138
4,fotonik3d_s,Individual DRAMS,2.135846179204679,2.135846179204679,1.0
5,fotonik3d_s,Shared DRAMS,2.1061320243802752,2.135846179204679,0.9860878769671193
6,gcc,Individual DRAMS,1.0465821895055265,1.0465821895055265,1.0
7,gcc,Shared DRAMS,1.0618851965743268,1.0465821895055265,1.0146218875328181
8,mcf_s,Individual DRAMS,0.22448478114487366,0.22448478114487366,1.0
9,mcf_s,Shared DRAMS,0.22294628850515014,0.22448478114487366,0.9931465615090822
10,namd,Individual DRAMS,2.1652942269663087,2.1652942269663087,1.0
11,namd,Shared DRAMS,2.1980545559913414,2.1652942269663087,1.0151297355421909
