,TraceName,Partitioning,final IPC,toN IPC,normalized IPC
0,calculix,basic,2.6774299999999998,2.6774299999999998,1.0
1,calculix,zero,2.67953,2.6774299999999998,1.0007843342309604
2,exchange2_s,basic,1.2150292274233867,1.2150292274233867,1.0
3,exchange2_s,shift,1.20032964026218,1.2150292274233867,0.9879018653795029
4,exchange2_s,shift6,1.2121855392148673,1.2150292274233867,0.9976595721779057
5,exchange2_s,zero,1.2155758979050513,1.2150292274233867,1.0004499237296733
6,fotonik3d_s,basic,2.198085491720585,2.198085491720585,1.0
7,fotonik3d_s,shift,2.365263905485807,2.198085491720585,1.0760563746928518
8,fotonik3d_s,shift6,2.4328284378390106,2.198085491720585,1.1067942748371797
9,fotonik3d_s,zero,2.20232741572002,2.198085491720585,1.001929826667531
10,gcc,basic,1.0740874959437736,1.0740874959437736,1.0
11,gcc,shift,1.1069461912407939,1.0740874959437736,1.0305921960930642
12,gcc,shift6,2.03318,1.0740874959437736,1.8929370350908854
13,gcc,zero,1.0988535672704276,1.0740874959437736,1.0230577782724233
14,mcf_s,basic,0.2250167997605388,0.2250167997605388,1.0
15,mcf_s,shift,0.4477367938330751,0.2250167997605388,1.9897927368514408
16,mcf_s,shift6,0.23406102041089624,0.2250167997605388,1.0401935351492966
17,mcf_s,zero,0.2250107921629921,0.2250167997605388,0.9999733015599143
18,namd,basic,2.193786426223588,2.193786426223588,1.0
19,namd,shift6,2.0371200000000003,2.193786426223588,0.9285862906475926
20,namd,zero,2.2140950629276888,2.193786426223588,1.0092573444986894
