,TraceName,Partitioning,final IPC,toN IPC,normalized IPC
0,calculix,basic,2.67735,2.67735,1.0
1,calculix,shift,2.05348,2.67735,0.76698227725176
2,calculix,shift6,1.9767000000000003,2.67735,0.7383046669281194
3,calculix,zero,2.67953,2.67735,1.000814237959176
4,exchange2_s,basic,1.2015722257053876,1.2015722257053876,1.0
5,exchange2_s,shift,0.8162730640707487,1.2015722257053876,0.6793374935006945
6,exchange2_s,shift6,0.7019032022366645,1.2015722257053876,0.5841539836064449
7,exchange2_s,zero,1.2155885047187478,1.2015722257053876,1.0116649492336025
8,fotonik3d_s,basic,2.135846179204679,2.135846179204679,1.0
9,fotonik3d_s,shift,1.9339052999474389,2.135846179204679,0.9054515811000788
10,fotonik3d_s,shift6,2.2142811462677066,2.135846179204679,1.0367231347588122
11,fotonik3d_s,zero,2.2028050186224637,2.135846179204679,1.031350028887716
12,gcc,basic,1.0465821895055265,1.0465821895055265,1.0
13,gcc,shift,0.7549069381472204,1.0465821895055265,0.7213068841768534
14,gcc,shift6,0.6253538602580159,1.0465821895055265,0.5975200672519314
15,gcc,zero,1.099000105676848,1.0465821895055265,1.05008485401045
16,mcf_s,basic,0.22448478114487366,0.22448478114487366,1.0
17,mcf_s,shift,0.3136598329911483,0.22448478114487366,1.397243195692293
18,mcf_s,shift6,0.1649261331446111,0.22448478114487366,0.7346873685756642
19,mcf_s,zero,0.22732835822812264,0.22448478114487366,1.0126671263359
20,namd,basic,2.1652942269663087,2.1652942269663087,1.0
21,namd,shift,1.2593864192932152,2.1652942269663087,0.5816236904938696
22,namd,shift6,0.8990410074873797,2.1652942269663087,0.4152050083036445
23,namd,zero,2.2143963064161523,2.1652942269663087,1.022676862496714
