,TraceName,Cpus,final IPC,toN IPC,normalized IPC
0,calculix,1,1.7077647681226464,1.7077647681226464,1.0
1,calculix,4,2.6774299999999998,1.7077647681226464,1.5677978899537264
2,calculix,16,2.99914,1.7077647681226464,1.7561786353614546
3,calculix,64,2.9519200000000003,1.7077647681226464,1.7285284572564754
4,exchange2_s,1,1.2401802728228641,1.2401802728228641,1.0
5,exchange2_s,4,1.2150292274233867,1.2401802728228641,0.9797198472265413
6,exchange2_s,16,1.1974737157306201,1.2401802728228641,0.9655642344680774
7,exchange2_s,64,1.1933134093832956,1.2401802728228641,0.9622096363999635
8,fotonik3d_s,1,2.213230759899111,2.213230759899111,1.0
9,fotonik3d_s,4,2.198085491720585,2.213230759899111,0.9931569412223349
10,fotonik3d_s,16,1.857323428518848,2.213230759899111,0.8391910424214026
11,fotonik3d_s,64,2.3319535404104847,2.213230759899111,1.0536422964394303
12,gcc,1,1.1230324212151233,1.1230324212151233,1.0
13,gcc,4,1.0740874959437736,1.1230324212151233,0.9564171751885924
14,gcc,16,0.9336594149375432,1.1230324212151233,0.8313735180746803
15,gcc,64,0.7935490468584565,1.1230324212151233,0.7066127672430284
16,mcf_s,1,0.2272445024660385,0.2272445024660385,1.0
17,mcf_s,4,0.2250167997605388,0.2272445024660385,0.99019689065599
18,mcf_s,16,0.2135393247641644,0.2272445024660385,0.939689728230401
19,mcf_s,64,0.21631192460872176,0.2272445024660385,0.9518906827726201
20,namd,1,2.233483628256375,2.233483628256375,1.0
21,namd,4,2.193786426223588,2.233483628256375,0.9822263295192464
22,namd,16,2.188200858016838,2.233483628256375,0.9797254971262592
23,namd,64,2.0224180658924107,2.233483628256375,0.9054993913124235
