TraceName,DRAM,Cpus,BlockSize,MSHR,Partitioning,Latency,ROB,IPC,Weight,final IPC,min IPC,normalized IPC
calculix,Individual DRAMS,4,8,256,basic,30,1600,0.06891828907599999,0.132874,0.518674,0.518674,1.0
calculix,Individual DRAMS,4,32,256,basic,30,1600,0.15146174386,0.132874,1.13989,0.518674,2.1977002895845947
calculix,Individual DRAMS,4,128,256,basic,30,1600,0.22220253272,0.132874,1.6722800000000002,0.518674,3.2241446457697904
calculix,Individual DRAMS,4,512,256,basic,30,1600,0.31780271824,0.132874,2.39176,0.518674,4.61129726957588
calculix,Individual DRAMS,4,2048,256,basic,30,1600,0.39368573090000003,0.132874,2.9628500000000004,0.518674,5.712354966703557
exchange2_s,Individual DRAMS,4,8,256,basic,30,1600,0.45094997465450004,1.0000004999999998,0.4509497491796255,0.4509497491796255,1.0
exchange2_s,Individual DRAMS,4,32,256,basic,30,1600,1.1627812087643,1.0000004999999998,1.1627806273739865,0.4509497491796255,2.578514855567243
exchange2_s,Individual DRAMS,4,128,256,basic,30,1600,1.1876973439884002,1.0000004999999998,1.1876967501400253,0.4509497491796255,2.6337674037976537
exchange2_s,Individual DRAMS,4,512,256,basic,30,1600,1.1957642796425,1.0000004999999998,1.1957636817606594,0.4509497491796255,2.6516561633219897
exchange2_s,Individual DRAMS,4,2048,256,basic,30,1600,1.1992640369462002,1.0000004999999998,1.1992634373144817,0.4509497491796255,2.659417018184841
fotonik3d_s,Individual DRAMS,4,8,256,basic,30,1600,0.2374753071083,0.9104327000000001,0.26083784897917217,0.26083784897917217,1.0
fotonik3d_s,Individual DRAMS,4,32,256,basic,30,1600,0.6250405824523,0.9104327000000001,0.6865313410341038,0.26083784897917217,2.6320234725173
fotonik3d_s,Individual DRAMS,4,128,256,basic,30,1600,1.0047727854319999,0.9104327000000001,1.103621152263094,0.26083784897917217,4.231062158280634
fotonik3d_s,Individual DRAMS,4,512,256,basic,30,1600,1.7695353838999999,0.9104327000000001,1.9436201971875566,0.26083784897917217,7.451450028414987
fotonik3d_s,Individual DRAMS,4,2048,256,basic,30,1600,1.9462094494479998,0.9104327000000001,2.137675249854272,0.26083784897917217,8.195418181143507
gcc,Individual DRAMS,4,8,256,basic,30,1600,0.050596011939000006,0.123457,0.40982700000000005,0.40982700000000005,1.0
gcc,Individual DRAMS,4,32,256,basic,30,1600,0.27655183340300005,0.641976,0.43078219965076586,0.40982700000000005,1.0511318181836868
gcc,Individual DRAMS,4,128,256,basic,30,1600,0.426884054075,0.641976,0.6649532912055903,0.40982700000000005,1.6225219207265267
gcc,Individual DRAMS,4,512,256,basic,30,1600,0.5113647349820001,0.641976,0.7965480562855933,0.40982700000000005,1.9436202502167823
gcc,Individual DRAMS,4,2048,256,basic,30,1600,0.68909055349,0.641976,1.0733898985164556,0.40982700000000005,2.6191292875199914
mcf_s,Individual DRAMS,4,8,256,basic,30,1600,0.13929233951106001,0.9994937,0.13936289894679676,0.13936289894679676,1.0
mcf_s,Individual DRAMS,4,32,256,basic,30,1600,0.19706793447232,0.9994937,0.1971677605094659,0.13936289894679676,1.4147794140299619
mcf_s,Individual DRAMS,4,128,256,basic,30,1600,0.24859001765379998,0.9994937,0.2487159425355057,0.13936289894679676,1.7846639558671609
mcf_s,Individual DRAMS,4,512,256,basic,30,1600,0.26628150327183997,0.9994937,0.2664163898900413,0.13936289894679676,1.9116737087375637
mcf_s,Individual DRAMS,4,2048,256,basic,30,1600,0.22437112450018,0.9994937,0.22448478114487366,0.13936289894679676,1.6107929932669747
namd,Individual DRAMS,4,8,256,basic,30,1600,0.196384772247,0.8250739999999999,0.23802079843383747,0.23802079843383747,1.0
namd,Individual DRAMS,4,32,256,basic,30,1600,0.726859114052,0.8250739999999999,0.8809623307145784,0.23802079843383747,3.7011989561889447
namd,Individual DRAMS,4,128,256,basic,30,1600,1.7612919419100002,0.8250739999999999,2.1347078467022356,0.23802079843383747,8.968576951041609
namd,Individual DRAMS,4,512,256,basic,30,1600,1.85422712079,0.8250739999999999,2.2473464450340215,0.23802079843383747,9.441807017796032
namd,Individual DRAMS,4,2048,256,basic,30,1600,1.86467446618,0.8250739999999999,2.2600087582204753,0.23802079843383747,9.495005365460484
