TraceName,DRAM,Cpus,BlockSize,MSHR,Partitioning,Latency,ROB,IPC,Weight,final IPC,min IPC,normalized IPC
403,True,4,2048,256,basic,0,100,0.671562513032,0.641976,1.0460866341296249,1.0460866341296249,1.0
403,True,4,2048,256,basic,0,200,0.695452133048,0.641976,1.0832992713870924,1.0460866341296249,1.035573188723924
403,True,4,2048,256,basic,0,400,0.689367233542,0.641976,1.0738208804410134,1.0460866341296249,1.0265123799564309
403,True,4,2048,256,basic,0,800,0.6895383942960001,0.641976,1.0740874959437736,1.0460866341296249,1.0267672493850821
403,True,4,2048,256,basic,0,1600,0.6895383942960001,0.641976,1.0740874959437736,1.0460866341296249,1.0267672493850821
444,True,4,2048,256,basic,0,100,1.59106080436,0.8250739999999999,1.9283855803964254,1.9283855803964254,1.0
444,True,4,2048,256,basic,0,200,1.7849133442899996,0.8250739999999999,2.163337281613528,1.9283855803964254,1.1218385490980505
444,True,4,2048,256,basic,0,400,1.80949396787,0.8250739999999999,2.1931293046078295,1.9283855803964254,1.1372877534984367
444,True,4,2048,256,basic,0,800,1.8086606792600002,0.8250739999999999,2.192119348397841,1.9283855803964254,1.1367640220309048
444,True,4,2048,256,basic,0,1600,1.8100361418300002,0.8250739999999999,2.1937864262235878,1.9283855803964254,1.1376285160629562
454,True,4,2048,256,basic,0,100,0.37491993588,0.132874,2.8216200000000002,2.65628,1.0622449440571025
454,True,4,2048,256,basic,0,200,0.35295054872000003,0.132874,2.65628,2.65628,1.0
454,True,4,2048,256,basic,0,400,0.35462608986,0.132874,2.66889,2.65628,1.0047472405017543
454,True,4,2048,256,basic,0,800,0.35574621768,0.132874,2.67732,2.65628,1.0079208517174394
454,True,4,2048,256,basic,0,1600,0.35576083382,0.132874,2.67743,2.65628,1.0079622630144411
605,True,4,2048,256,basic,0,100,0.21438200573646,0.9994937,0.21449060232841885,0.21449060232841885,1.0
605,True,4,2048,256,basic,0,200,0.22132758032390001,0.9994937,0.22143969524160081,0.21449060232841885,1.0323981229841568
605,True,4,2048,256,basic,0,400,0.22491424081557998,0.9994937,0.2250281725793569,0.21449060232841885,1.0491283540469682
605,True,4,2048,256,basic,0,800,0.22490218008482005,0.9994937,0.2250161057391558,0.21449060232841885,1.0490720959169144
605,True,4,2048,256,basic,0,1600,0.22490287375482002,0.9994937,0.22501679976053876,0.21449060232841885,1.0490753315895986
648,True,4,2048,256,basic,0,100,1.214870501667,1.0000004999999998,1.214869894232053,1.214869894232053,1.0
648,True,4,2048,256,basic,0,200,1.214915542668,1.0000004999999998,1.2149149352105326,1.214869894232053,1.0000370747342522
648,True,4,2048,256,basic,0,400,1.215005648478,1.0000004999999998,1.2150050409754798,1.214869894232053,1.000111243799907
648,True,4,2048,256,basic,0,800,1.2150298349380002,1.0000004999999998,1.2150292274233867,1.214869894232053,1.0001311524732732
648,True,4,2048,256,basic,0,1600,1.2150298349380002,1.0000004999999998,1.2150292274233867,1.214869894232053,1.0001311524732732
649,True,4,2048,256,basic,0,100,1.5154868003570001,0.9104327000000001,1.664578612298306,1.664578612298306,1.0
649,True,4,2048,256,basic,0,200,1.616967744695,0.9104327000000001,1.7760431327818078,1.664578612298306,1.0669626052263168
649,True,4,2048,256,basic,0,400,1.713217822091,0.9104327000000001,1.8817621797756163,1.664578612298306,1.1304736020712427
649,True,4,2048,256,basic,0,800,1.811835114477,0.9104327000000001,1.9900813255905678,1.664578612298306,1.195546615153751
649,True,4,2048,256,basic,0,1600,2.001208909058,0.9104327000000001,2.198085491720585,1.664578612298306,1.3205056676089686
