,TraceName,BlockSize,final IPC,toN IPC,normalized IPC
0,calculix,8,1.3052156848106315,1.3052156848106315,1.0
1,calculix,32,1.405375397830677,1.3052156848106315,1.0767380550093353
2,calculix,128,1.67223,1.3052156848106315,1.2811905491640005
3,calculix,512,2.3919,1.3052156848106315,1.8325706837847502
4,calculix,2048,2.9631500000000006,1.3052156848106315,2.270237811637938
5,exchange2_s,8,0.456542852205474,0.456542852205474,1.0
6,exchange2_s,32,1.1761690078594962,0.456542852205474,2.576251062036436
7,exchange2_s,128,1.2023751213574396,0.456542852205474,2.6336522750251983
8,exchange2_s,512,1.2109542956018524,0.456542852205474,2.652443882873111
9,exchange2_s,2048,1.2159995350702326,0.456542852205474,2.663494848722226
10,fotonik3d_s,8,0.2691204362785959,0.2691204362785959,1.0
11,fotonik3d_s,32,0.7509823625110346,0.2691204362785959,2.790506632999104
12,fotonik3d_s,128,1.176367450841781,0.2691204362785959,4.371156152645334
13,fotonik3d_s,512,2.013873483106439,0.2691204362785959,7.48316817167188
14,fotonik3d_s,2048,2.200696969361931,0.2691204362785959,8.177368466673224
15,gcc,8,0.22816895,0.22816895,1.0
16,gcc,32,0.4356179669847472,0.22816895,1.9091903915267487
17,gcc,128,0.6727941734893516,0.22816895,2.948666650257853
18,gcc,512,0.8109756674050121,0.22816895,3.5542770714639835
19,gcc,2048,1.1006375124864485,0.22816895,4.823783045354981
20,mcf_s,8,0.13967107717295268,0.13967107717295268,1.0
21,mcf_s,32,0.1977752296358646,0.13967107717295268,1.4160070476936495
22,mcf_s,128,0.2497255967364277,0.13967107717295268,1.7879549710008757
23,mcf_s,512,0.2674662525674749,0.13967107717295268,1.9149723620751868
24,mcf_s,2048,0.2250167997605388,0.13967107717295268,1.611047930001311
25,namd,8,0.2379054479828477,0.2379054479828477,1.0
26,namd,32,0.9489376305373824,0.2379054479828477,3.9887175286788645
27,namd,128,2.1638418877337062,0.2379054479828477,9.095386028695371
28,namd,512,2.2837221824103056,0.2379054479828477,9.599284933462117
29,namd,2048,2.2976419850583105,0.2379054479828477,9.657794743834382
