TraceName,DRAM,Cpus,BlockSize,MSHR,Partitioning,Latency,ROB,Weight,IPC
403,True,16,2048,256,basic,0,1600,0.123457,0.25460413652999997
403,True,1,2048,256,basic,0,1600,0.123457,0.26117204892999996
403,True,1,2048,256,basic,0,1600,0.123457,0.18564599461
403,True,4,2048,256,basic,0,1600,0.123457,0.25873871146
403,True,4,2048,256,basic,0,1600,0.123457,0.17460276596
403,True,64,2048,256,basic,0,1600,0.123457,0.24389918005999997
403,True,16,2048,256,basic,0,1600,0.395062,0.229516009644
403,True,1,2048,256,basic,0,1600,0.395062,0.274141818102
403,True,4,2048,256,basic,0,1600,0.395062,0.25619691687600005
403,True,64,2048,256,basic,0,1600,0.395062,0.16757107816800001
444,True,1,2048,256,basic,0,1600,0.108429,0.25192936005
444,True,4,2048,256,basic,0,1600,0.108429,0.24340900923
444,True,1,2048,256,basic,0,1600,0.109699,0.21649426747
444,True,4,2048,256,basic,0,1600,0.109699,0.20897440102
444,True,16,2048,256,basic,0,1600,0.113511,0.24265700514
444,True,1,2048,256,basic,0,1600,0.113511,0.23801894568
444,True,4,2048,256,basic,0,1600,0.113511,0.23668519143
444,True,64,2048,256,basic,0,1600,0.113511,0.22942843319999998
444,True,1,2048,256,basic,0,1600,0.115205,0.30317808620000003
444,True,4,2048,256,basic,0,1600,0.115205,0.29341446244999997
444,True,1,2048,256,basic,0,1600,0.116476,0.24691630763999997
444,True,4,2048,256,basic,0,1600,0.116476,0.24099233828
444,True,64,2048,256,basic,0,1600,0.116476,0.22062068588
444,True,1,2048,256,basic,0,1600,0.124524,0.28280521116
444,True,4,2048,256,basic,0,1600,0.124524,0.27577458612
444,True,64,2048,256,basic,0,1600,0.124524,0.25397790516
444,True,16,2048,256,basic,0,1600,0.13723,0.3060146662
444,True,1,2048,256,basic,0,1600,0.13723,0.3034470929
444,True,4,2048,256,basic,0,1600,0.13723,0.3107861533
444,True,64,2048,256,basic,0,1600,0.13723,0.2904788579
454,True,16,2048,256,basic,0,1600,0.132874,0.39850772836
454,True,1,2048,256,basic,0,1600,0.132874,0.3613441993
454,True,4,2048,256,basic,0,1600,0.132874,0.35576083382
454,True,64,2048,256,basic,0,1600,0.132874,0.39223341807999995
454,True,1,2048,256,basic,0,1600,0.621555,0.9270430669499999
605,True,1,2048,256,basic,0,1600,0.0116456,0.0005608555896800001
605,True,4,2048,256,basic,0,1600,0.0116456,0.0005596304725600001
605,True,64,2048,256,basic,0,1600,0.0116456,0.0005524952134400001
605,True,1,2048,256,basic,0,1600,0.0141772,0.0009205582035599999
605,True,4,2048,256,basic,0,1600,0.0141772,0.0009194708123199999
605,True,1,2048,256,basic,0,1600,0.0313924,0.020052021069600003
605,True,4,2048,256,basic,0,1600,0.0313924,0.0195789062092
605,True,64,2048,256,basic,0,1600,0.0313924,0.0113524650044
605,True,16,2048,256,basic,0,1600,0.0349367,0.0196219180614
605,True,1,2048,256,basic,0,1600,0.0349367,0.0263907639396
605,True,4,2048,256,basic,0,1600,0.0349367,0.0255043150505
605,True,64,2048,256,basic,0,1600,0.0349367,0.0145317107448
605,True,16,2048,256,basic,0,1600,0.0688608,0.0045077243731200005
605,True,1,2048,256,basic,0,1600,0.0688608,0.003542716008
605,True,4,2048,256,basic,0,1600,0.0688608,0.00353671134624
605,True,64,2048,256,basic,0,1600,0.0688608,0.005989718966400001
605,True,16,2048,256,basic,0,1600,0.126582,0.021321345498
605,True,1,2048,256,basic,0,1600,0.126582,0.018517301034
605,True,4,2048,256,basic,0,1600,0.126582,0.018456668255999998
605,True,64,2048,256,basic,0,1600,0.126582,0.023009316468
605,True,1,2048,256,basic,0,1600,0.128608,0.039936127808
605,True,4,2048,256,basic,0,1600,0.128608,0.039759034592
605,True,64,2048,256,basic,0,1600,0.128608,0.020688525920000003
605,True,16,2048,256,basic,0,1600,0.142785,0.03272175288
605,True,1,2048,256,basic,0,1600,0.142785,0.03246588216
605,True,4,2048,256,basic,0,1600,0.142785,0.03233651895
605,True,64,2048,256,basic,0,1600,0.142785,0.041724775485
605,True,16,2048,256,basic,0,1600,0.440506,0.095577908338
605,True,1,2048,256,basic,0,1600,0.440506,0.084743222762
605,True,4,2048,256,basic,0,1600,0.440506,0.084251618066
648,True,16,2048,256,basic,0,1600,0.0194217,0.022303686063
648,True,1,2048,256,basic,0,1600,0.0194217,0.02302248318
648,True,4,2048,256,basic,0,1600,0.0194217,0.022513246206000002
648,True,64,2048,256,basic,0,1600,0.0194217,0.022271057607
648,True,1,2048,256,basic,0,1600,0.0429435,0.05507332101
648,True,4,2048,256,basic,0,1600,0.0429435,0.05320785537
648,True,64,2048,256,basic,0,1600,0.0429435,0.052444319940000005
648,True,16,2048,256,basic,0,1600,0.0520069,0.05956402263900001
648,True,1,2048,256,basic,0,1600,0.0520069,0.061814881271
648,True,4,2048,256,basic,0,1600,0.0520069,0.06028327806600001
648,True,64,2048,256,basic,0,1600,0.0520069,0.059638912575
648,True,16,2048,256,basic,0,1600,0.0714286,0.08163288979599999
648,True,1,2048,256,basic,0,1600,0.0714286,0.083852890684
648,True,4,2048,256,basic,0,1600,0.0714286,0.082365032946
648,True,64,2048,256,basic,0,1600,0.0714286,0.08167288981200001
648,True,16,2048,256,basic,0,1600,0.079413,0.09808934933999999
648,True,1,2048,256,basic,0,1600,0.079413,0.10107607227
648,True,4,2048,256,basic,0,1600,0.079413,0.09900339297
648,True,64,2048,256,basic,0,1600,0.079413,0.09727139543999999
648,True,16,2048,256,basic,0,1600,0.0807078,0.098936463708
648,True,1,2048,256,basic,0,1600,0.0807078,0.102439182228
648,True,4,2048,256,basic,0,1600,0.0807078,0.10026329994
648,True,64,2048,256,basic,0,1600,0.0807078,0.09829967916599999
648,True,16,2048,256,basic,0,1600,0.147389,0.17801790809
648,True,1,2048,256,basic,0,1600,0.147389,0.1855774899
648,True,4,2048,256,basic,0,1600,0.147389,0.18218459512
648,True,64,2048,256,basic,0,1600,0.147389,0.17725885474
648,True,16,2048,256,basic,0,1600,0.161847,0.19423582164
648,True,1,2048,256,basic,0,1600,0.161847,0.20003318118
648,True,4,2048,256,basic,0,1600,0.161847,0.19636249122
648,True,64,2048,256,basic,0,1600,0.161847,0.19297341503999998
648,True,16,2048,256,basic,0,1600,0.162495,0.1888711884
648,True,1,2048,256,basic,0,1600,0.162495,0.19443664214999998
648,True,4,2048,256,basic,0,1600,0.162495,0.1901548989
648,True,64,2048,256,basic,0,1600,0.162495,0.18831870539999998
648,True,16,2048,256,basic,0,1600,0.182348,0.22439927228
648,True,1,2048,256,basic,0,1600,0.182348,0.23285474904
648,True,4,2048,256,basic,0,1600,0.182348,0.22869174420000002
648,True,64,2048,256,basic,0,1600,0.182348,0.22316477632
649,True,16,2048,256,basic,0,1600,0.0486947,0.135910316329
649,True,1,2048,256,basic,0,1600,0.0486947,0.122074691218
649,True,4,2048,256,basic,0,1600,0.0486947,0.121534180048
649,True,64,2048,256,basic,0,1600,0.0486947,0.12462678044499999
649,True,16,2048,256,basic,0,1600,0.157247,0.24659002799000002
649,True,1,2048,256,basic,0,1600,0.157247,0.26957010456999997
649,True,4,2048,256,basic,0,1600,0.157247,0.26344061651
649,True,64,2048,256,basic,0,1600,0.157247,0.24526600825
649,True,1,2048,256,basic,0,1600,0.20726,0.3784007998
649,True,4,2048,256,basic,0,1600,0.20726,0.3771841836
649,True,1,2048,256,basic,0,1600,0.497231,1.2449520608699998
649,True,4,2048,256,basic,0,1600,0.497231,1.2390499288999999
649,True,64,2048,256,basic,0,1600,0.497231,1.26987327859
