TraceName,DRAM,Cpus,BlockSize,MSHR,Partitioning,Latency,ROB,IPC,Weight,final IPC,min IPC,normalized IPC
403,True,1,2048,256,basic,30,1600,0.720959861642,0.641976,1.1230324212151233,0.5755613564681547,1.9511949657399554
403,True,4,2048,256,basic,30,1600,0.6718806476899999,0.641976,1.0465821895055265,0.5755613564681547,1.8183677165675611
403,True,16,2048,256,basic,30,1600,0.47036238534799996,0.641976,0.7326790804453749,0.5755613564681547,1.2729817111790642
403,True,64,2048,256,basic,30,1600,0.36949657738,0.641976,0.5755613564681547,0.5755613564681547,1.0
444,True,1,2048,256,basic,30,1600,1.8427892711,0.8250739999999999,2.233483628256375,0.9758683536553573,2.288714066697939
444,True,4,2048,256,basic,30,1600,1.78652796902,0.8250739999999999,2.1652942269663087,0.9758683536553573,2.218838451780572
444,True,16,2048,256,basic,30,1600,0.6504556294330001,0.6069459999999999,1.0716861622500193,0.9758683536553573,1.0981872280577116
444,True,64,2048,256,basic,30,1600,0.336861948735,0.34519199999999994,0.9758683536553573,0.9758683536553573,1.0
454,True,1,2048,256,basic,30,1600,1.28838726625,0.754429,1.7077647681226464,1.7077647681226464,1.0
454,True,4,2048,256,basic,30,1600,0.3557502039,0.132874,2.67735,1.7077647681226464,1.5677510450945906
454,True,16,2048,256,basic,30,1600,0.28222038978,0.132874,2.1239700000000004,1.7077647681226464,1.2437134432366175
454,True,64,2048,256,basic,30,1600,0.24677093531999997,0.132874,1.8571799999999998,1.7077647681226464,1.0874916936257013
605,True,1,2048,256,basic,30,1600,0.22712944857443998,0.9994937,0.22724450246603853,0.15698332742315704,1.4475709376033845
605,True,4,2048,256,basic,30,1600,0.22437112450018,0.9994937,0.22448478114487366,0.15698332742315704,1.4299912279204199
605,True,16,2048,256,basic,30,1600,0.134464478452,0.7762021000000001,0.1732338503747928,0.15698332742315704,1.103517508632185
605,True,64,2048,256,basic,30,1600,0.1528500976971,0.9736709000000001,0.15698332742315704,0.15698332742315704,1.0
648,True,1,2048,256,basic,30,1600,1.240180892913,1.0000004999999998,1.240180272822864,0.6578390950455526,1.885233459311181
648,True,4,2048,256,basic,30,1600,1.2015728264915002,1.0000004999999998,1.2015722257053876,0.6578390950455526,1.8265442640227756
648,True,16,2048,256,basic,30,1600,0.6950335542246,1.0000004999999998,0.6950332067079967,0.6578390950455526,1.0565398316131829
648,True,64,2048,256,basic,30,1600,0.6578394239651,1.0000004999999998,0.6578390950455526,0.6578390950455526,1.0
649,True,1,2048,256,basic,30,1600,2.0149976564579997,0.9104327000000001,2.213230759899111,1.6336198888967848,1.3548015514146003
649,True,4,2048,256,basic,30,1600,1.9445442037179999,0.9104327000000001,2.135846179204679,1.6336198888967848,1.307431547400575
649,True,16,2048,256,basic,30,1600,1.38354517507,0.7031727000000001,1.96757521313043,1.6336198888967848,1.2044265783634476
649,True,64,2048,256,basic,30,1600,1.487300966222,0.9104327000000001,1.6336198888967848,1.6336198888967848,1.0
